MIB_STORED_GAMES_V1
class	seed	won	dead	floor	deepest	turns	score	hp	waste
r	1701085	1	1	15	15	1141	8370	52/52	0
r	1701086	1	1	15	15	1016	8452	48/48	166
r	1701087	1	1	15	15	658	8344	41/41	0
r	1701088	1	1	15	15	1020	8089	45/45	0
r	1701089	1	1	15	15	1305	8108	46/46	0
r	1701090	1	1	15	15	849	7860	50/50	0
r	1701091	1	1	15	15	911	8413	47/47	0
r	1701092	1	1	15	15	954	8070	47/47	0
r	1701093	1	1	15	15	1023	7783	42/42	0
r	1701094	1	1	15	15	954	8231	55/55	6
r	1701095	1	1	15	15	1059	8143	46/46	1
r	1701096	1	1	15	15	879	8335	48/48	0
r	1701097	0	1	11	11	1143	1714	-1/25	0
r	1701098	1	1	15	15	955	8425	37/37	0
r	1701099	1	1	15	15	954	8158	49/49	0
t	1701080	1	1	15	15	913	8228	42/42	0
t	1701081	1	1	15	15	980	8452	45/45	0
t	1701082	0	1	7	7	872	1651	0/27	0
t	1701083	1	1	15	15	819	8134	48/48	0
t	1701084	1	1	15	15	768	8272	36/36	0
t	1701085	1	1	15	15	770	7973	38/38	0
t	1701086	1	1	15	15	1070	8279	43/43	0
t	1701087	1	1	15	15	818	8126	38/38	0
t	1701088	1	1	15	15	1005	8398	36/36	1
t	1701089	1	1	15	15	769	8099	38/38	0
t	1701090	1	1	15	15	885	8287	29/29	0
t	1701091	1	1	15	15	926	8247	31/31	0
t	1701092	1	1	15	15	769	8220	40/40	0
t	1701093	1	1	15	15	911	8029	48/48	0
t	1701094	1	1	15	15	990	8263	28/28	0
t	1701095	1	1	15	15	1118	8148	41/41	0
t	1701096	1	1	15	15	876	7992	43/43	0
t	1701097	1	1	15	15	815	8222	26/26	0
t	1701098	1	1	15	15	900	8271	40/40	0
t	1701099	1	1	15	15	920	8207	39/39	0
v	1701080	1	1	15	15	875	8269	56/56	0
v	1701081	1	1	15	15	782	8444	56/56	0
v	1701082	1	1	15	15	786	8413	59/59	0
v	1701083	1	1	15	15	1115	8816	63/63	0
v	1701084	1	1	15	15	799	8042	51/51	0
v	1701085	1	1	15	15	901	8630	56/56	0
v	1701086	1	1	15	15	785	8646	55/55	0
v	1701087	1	1	15	15	746	8397	47/47	0
v	1701088	1	1	15	15	795	8477	59/59	0
v	1701089	1	1	15	15	785	8304	56/56	0
v	1701090	1	1	15	15	948	8283	61/61	0
v	1701091	1	1	15	15	975	8163	54/54	0
v	1701092	1	1	15	15	1082	8154	55/55	0
v	1701093	1	1	15	15	1261	8624	66/66	3
v	1701094	1	1	15	15	895	8423	58/58	0
v	1701095	1	1	15	15	919	8738	55/55	0
v	1701096	1	1	15	15	808	8147	61/61	0
v	1701097	1	1	15	15	823	8452	56/56	0
v	1701098	1	1	15	15	707	8647	54/54	0
v	1701099	1	1	15	15	817	8498	65/65	0
